url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,ED,EG,G,D,C,P,EU,O
vZBlBvJ4QYE,"
          
          
          
          
            Le programme de Jadot, expliqué en 5 minutes | Présidentielle 2022
          
        ",Gaspard G,proposal,2024-05-11T20:10:45.193Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,0,0
KyUHF3d8cz8,"
          
          
          
          
            Elections européennes 2019 : le résumé du second débat dans « L’Emission politique »
          
        ",Le Monde,proposal,2024-05-11T20:10:45.197Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,1,0
69byrUncHyY,"
          
          
          
          
            ÉLECTIONS EUROPÉENNES : la vidéo pour tout comprendre
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:10:45.232Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,1,0
3u3CaEC7-yk,"
          
          
          
          
            Anaïs, 23 ans, militante Europe Écologie Les Verts - EELV | Jeunesse militante #01
          
        ",LCP - Assemblée nationale,proposal,2024-05-11T20:10:45.251Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,1,0
TQQv_aFjJ1c,"
          
          
          
          
            Le projet dEurope politique - histoire - terminale
          
        ",LAntiseche,proposal,2024-05-11T20:10:45.257Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,1,0
OxpGvUtatvg,"
          
          
          
          
            EUROPÉENNES - Le programme de la République En marche résumé (Nathalie Loiseau)
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:10:45.263Z,,0,20,20,N923_N1xTPY,0,0,0,0,1,1,1,0
gRbpPDJcz3w,"
          
          
          
          
            Mon interview dEmmanuel Macron - Les temps forts
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:10:45.270Z,,0,20,20,N923_N1xTPY,0,0,0,0,1,1,0,0
-T4biBo8zp4,"
          
          
          
          
            Élections européennes : le raz-de-marée annoncé de l’extrême droite ? - 28 Minutes - ARTE
          
        ",28 minutes - ARTE,proposal,2024-05-11T20:10:45.274Z,,0,20,20,N923_N1xTPY,1,0,0,0,0,1,1,0
uF_dJhTVLuI,"
          
          
          
          
            CLIP OFFICIEL DE LA FRANCE INSOUMISE POUR LES ÉLECTIONS EUROPÉENNES - #ClipFi
          
        ",JEAN-LUC MÉLENCHON,proposal,2024-05-11T20:10:45.279Z,,0,20,20,N923_N1xTPY,0,1,0,0,0,1,1,0
VvZgo26BEWg,"
          
          
          
          
            LE PROGRAMME DEMMANUEL MACRON - 5 minutes pour décrypter
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:10:45.308Z,,0,20,20,N923_N1xTPY,0,0,0,0,1,1,0,0
boxHXwTk1-s,"
          
          
          
          
            « Pendant ce temps là » à la rédaction de Guillaume Meurice actualités - Le sketch
          
        ",France Inter,proposal,2024-05-11T20:10:45.313Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,0,0,1
i5dDWdqlkpE,"
          
          
          
          
            Elections européennes : le Grand Débat
          
        ",Public Sénat,proposal,2024-05-11T20:10:45.318Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,1,0
okFxckRQhwI,"
          
          
          
          
            Yannick Jadot : 10 mesures pour comprendre son programme (Présidentielle 2022)
          
        ",HugoDécrypte - Grands formats,proposal,2024-05-11T20:10:45.323Z,,0,20,20,N923_N1xTPY,0,0,0,0,0,1,0,0
